order_id,customer,amount,date,status
ORD-000001,Karen Davis,1781.21,2023-10-01,pending
ORD-000002,Linda Martinez,141.93,2023-06-10,cancelled
ORD-000003,Linda Johnson,289.71,2023-04-26,pending
ORD-000004,Karen Davis,310.29,2023-10-13,cancelled
ORD-000005,Michael Garcia,183.13,2024-07-06,pending
ORD-000006,Jessica Martinez,1670.48,2023-02-01,delivered
ORD-000007,Michael Martinez,270.18,2024-09-30,pending
ORD-000008,Sarah Davis,281.57,2023-12-09,pending
ORD-000009,Mary Garcia,1557.68,2024-03-13,cancelled
ORD-000010,Sarah Williams,1239.68,2023-05-16,pending
ORD-000011,Karen Smith,1619.6,2023-02-04,cancelled
ORD-000012,Mary Jones,635.36,2024-08-08,cancelled
ORD-000013,William Martinez,1272.84,2024-02-05,shipped
ORD-000014,John Williams,331.78,2024-02-16,pending
ORD-000015,Michael Jones,785.52,2023-08-22,delivered
ORD-000016,Mary Williams,1657.59,2023-09-11,pending
ORD-000017,Robert Miller,1617.18,2023-04-01,delivered
ORD-000018,Mary Williams,1573.92,2023-05-19,delivered
ORD-000019,Sarah Martinez,849.69,2023-06-03,cancelled
ORD-000020,Elizabeth Martinez,1916.77,2024-08-22,delivered
ORD-000021,Mary Brown,1390.06,2024-03-12,pending
ORD-000022,Susan Martinez,495.59,2023-10-15,shipped
ORD-000023,Michael Brown,505.19,2023-01-08,pending
ORD-000024,Robert Rodriguez,22746.14,2024-08-31,cancelled
ORD-000025,Susan Miller,1255.94,2024-10-21,cancelled
ORD-000026,Jennifer Smith,1735.41,2023-04-27,pending
ORD-000027,Elizabeth Davis,542.86,2023-04-04,cancelled
ORD-000028,James Miller,1013.75,2023-11-16,shipped
ORD-000029,Patricia Brown,61.26,2023-01-28,shipped
ORD-000030,Thomas Davis,749.6,2023-08-26,shipped
ORD-000031,John Rodriguez,95.99,2023-03-09,shipped
ORD-000032,William Williams,1559.77,2023-07-29,cancelled
ORD-000033,Robert Brown,652.28,2024-08-28,cancelled
ORD-000034,Patricia Brown,30211.56,2024-04-09,shipped
ORD-000035,James Davis,177.63,2023-07-13,cancelled
ORD-000036,Joseph Garcia,17596.12,2024-08-23,pending
ORD-000037,Richard Rodriguez,1845.37,2023-07-02,cancelled
ORD-000038,Joseph Garcia,637.08,2024-10-31,delivered
ORD-000039,Linda Williams,1723.88,2023-12-13,shipped
ORD-000040,Thomas Smith,521.57,2023-06-30,delivered
ORD-000041,Charles Johnson,1825.86,2024-03-04,cancelled
ORD-000042,William Johnson,409.34,2023-07-25,delivered
ORD-000043,Barbara Garcia,1887.07,2023-01-31,pending
